Prompt,Style,Score,Readability,Simplicity,Actionability,Comfort,Explanation
Why does my phone keep restarting?,short + simplify,33.7,48.0,35.0,20,0,"Your phone might keep turning off and on because it has a problem with its system, a bad app, not enough space, or something inside it is broken. Try making your phone's system up-to-date, removing apps and files you don't need, or start your phone all over again after saving your important stuff.

📊 This should help in most situations. (How sure I am: 77%)"
Why does my phone keep restarting?,short + step-by-step,32.1,61.0,0,70,0,"Your phone may be restarting due to a software issue, faulty app, or hardware problem. Try updating your software, removing recently installed apps, or performing a factory reset after backing up your data.

👣 **Step-by-Step Instructions**:
1. Check battery → Back of phone → Battery shape
2. Plug in charger → Charging port → Small hole
3. Wait 10 minutes → Clock → Two short hands
4. Try restarting → Side button → Small, elongated button
5. Check for updates → Settings → Gear icon
6. Contact support → Phone app → Green icon with phone

Why: Sometimes, phones restart due to low battery, software updates, or technical issues.

📊 I'm highly confident this will help. (How sure I am: 90%)"
Why does my phone keep restarting?,simplify + step-by-step,0,70.0,0,60,0,"Your phone restarting could be like a plant needing more sunlight or water. It might be a sign that your phone needs a bit more care. This could be caused by multiple reasons such as an app that's not working properly, your phone's software needing an update, or it could be a sign of a more serious issue. Try to close unused apps, update your phone's software, and if it continues, you might need to bring it to a professional, like a gardener tending to a plant that's not thriving.

👣 **Step-by-Step Instructions**:
1. Check battery → Back of phone → Look for loose parts
2. Plug in charger → Charging port → See if phone charges
3. Press Power button → Right side → Hold until screen changes
4. Tap 'Settings' → Home screen → Gear-shaped icon
5. Scroll to 'System updates' → Bottom of list → Tap to open
6. Tap 'Check for updates' → Top of screen → Wait for result

📊 This should help in most situations. (How sure I am: 75%)"
Why does my phone keep restarting?,short + simplify + step-by-step,10.900000000000002,57.0,0,50,0,"Your phone acting up and restarting could be like a plant not getting the right care. Just like you'd prune a plant, try removing any new apps, or give it a fresh start with a factory reset (but remember to save your stuff somewhere safe first).

👣 **Step-by-Step Instructions**:
1. Check battery health → Settings → Battery Health
2. Look for apps draining battery → Settings → Battery Usage
3. Update phone software → Settings → Software Update
4. Clear app cache → Settings → Storage → Cached Data
5. Factory reset if needed → Settings → System → Reset
⚠️ WARNING: This will erase all data on your phone.

📊 This should help in most situations. (How sure I am: 82%)"
How do I clear browser history?,short,21.9,45.0,13.0,0,0,"The process varies by browser. For Google Chrome, click the three-dot menu > History > Clear browsing data > select the time range and data types > Clear data. For Firefox, click the three-line menu > History > Clear Recent History > select the time range and data types > Clear Now. For Safari, click History > Clear History > select the time range > Clear History. For more specific instructions, please specify your browser.

📊 This should help in most situations. (How sure I am: 86%)"
How do I clear browser history?,simplify,0,75.0,0,0,5,"Sure, I can help you with that! Clearing your browser history is like doing a bit of spring cleaning in your garden. Just like you would remove old leaves and debris, you can also clean up the list of websites you've visited. Here's how:

1. Open your internet browser. This could be something like Google Chrome, Firefox, or Internet Explorer.
2. Look for the menu. It's usually in the top right corner and might look like three dots or lines.
3. In the menu, find something that says ""History"". Click on it.
4. You should now see an option that says ""Clear browsing data"" or ""Clear history"". Click on it.
5. A new window will pop up with different options. To clear your history, make sure the ""Browsing history"" box is checked.
6. Finally, click the button that says ""Clear data"" or ""Clear Now"".

And there you go! You've just done a bit of spring cleaning on your computer. Just like a tidy garden, your browser is now free of the old history.

📊 This should help in most situations. (How sure I am: 75%)"
How do I clear browser history?,step-by-step,23.1,57.0,1.0000000000000009,0,0,"1. Open your internet browser → Desktop → Blue 'E' or multicolored circle
2. Click 'Settings' → top right corner → looks like a gear
3. Scroll down to 'Privacy and security' → middle of the page → text section
4. Click 'Clear browsing data' → under 'Privacy and security' → text link
5. Check 'Browsing history' box → new window → small square
6. Click 'Clear data' → bottom right of the window → blue button

Why: Clearing browser history removes traces of your online activity.

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I clear browser history?,short + simplify,30.4,83.0,8.999999999999996,20,5,"To clean up your browser's history, you can use a simple keyboard shortcut. If you're using a Windows computer, press Ctrl, Shift, and Delete together. If you're on a Mac, press Command, Shift, and Delete together. A box will pop up. Choose what you want to get rid of and click on ""Clear data"" or ""Clear Now"". It's like sweeping away leaves from your garden path. The steps might be a bit different depending on the browser you use.

📊 This should help in most situations. (How sure I am: 85%)"
How do I clear browser history?,short + step-by-step,21.000000000000004,47.0,0,30,10,"In most browsers, you can clear the history by pressing Ctrl+Shift+Delete (Windows) or Command+Shift+Delete (Mac), then selecting the desired options and confirming. Alternatively, you can find this option in the browser's settings or preferences menu.

👣 **Step-by-Step Instructions**:
1. Open your internet browser → Desktop → Blue 'E' or multicolored ball
2. Click 'History' → Top right → Looks like a clock
3. Select 'History' again → Drop-down menu → Second option
4. Click 'Clear Browsing Data' → New window → Middle of screen
5. Choose 'Browsing history' → Pop-up box → First checkbox
6. Click 'Clear data' → Bottom right → Blue button

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I clear browser history?,simplify + step-by-step,2.3999999999999986,78.0,0,30,0,"Sure, I can help with that. Clearing your browser history is like weeding your garden. It helps keep things neat and tidy. Here's a simple way to do it:

1. Open your internet browser. This is the program you use to surf the internet, like Google Chrome, Safari, or Firefox.
2. Look for three dots or lines, usually in the top right corner. Click on it.
3. A menu will appear. Look for something that says ""History"" and click on it.
4. You'll see a list of websites you've visited. There should be an option that says ""Clear browsing data"" or ""Clear history"". Click on that.
5. A new window will pop up. Make sure ""browsing history"" is checked, then click on ""Clear data"" or ""Clear now"".

And there you go, your browser history is cleared, just like a freshly weeded garden.

👣 **Step-by-Step Instructions**:
1. Open your Internet browser → Desktop → Globe icon
2. Click 'Settings' → top right → Gear icon
3. Select 'History' → left sidebar → Clock icon
4. Click 'Clear Browsing Data' → center → Trash bin icon
5. Choose 'All Time' → drop-down menu → Bottom option
6. Click 'Clear Data' → bottom right → Blue button

📊 This should help in most situations. (How sure I am: 85%)"
How do I clear browser history?,short + simplify + step-by-step,17.000000000000004,56.0,0,40,10,"Just like how you clean up your garden, you can clean up your computer's browsing history. Simply press three buttons together - Ctrl, Shift, and Delete (for Windows) or Command, Shift, and Delete (for Mac). Then, choose what you want to clean up and say 'okay'. If you can't find it, look under ""Privacy"" or ""History"" in your computer's settings, just like you'd look for your gardening tools in the shed.

👣 **Step-by-Step Instructions**:
1. Open your internet browser → Desktop → Browser icon
2. Click on 'Settings' → Top right → Gear icon
3. Select 'Privacy & Security' → Left panel → Lock icon
4. Click on 'Clear Browsing Data' → Center → Trash bin icon
5. Choose 'Browsing History' → Pop-up window → Checkbox
6. Click 'Clear Data' → Bottom right → Blue button

📊 I'm highly confident this will help. (How sure I am: 90%)"
What is a strong password?,short,32.0,41.0,52.0,0,0,"A strong password typically includes a combination of upper and lower case letters, numbers, and special characters, and is at least 12 characters long. Avoid using personal information, common words, or sequences like ""1234"" or ""abcd"".

📊 This should help in most situations. (How sure I am: 80%)"
What is a strong password?,simplify,29.5,70.0,5.000000000000004,0,0,"A strong password is like a sturdy fence around your garden. It's what keeps unwanted visitors from getting into your personal online space. It should be unique and hard for others to guess, just like a lock with a tricky key. A good strong password is made up of a mix of letters, numbers, and special symbols. And remember, just like you wouldn't use the same key for every lock, it's best not to use the same password for all your online accounts.

📊 This should help in most situations. (How sure I am: 80%)"
What is a strong password?,step-by-step,11.299999999999999,51.0,0,10,0,"1. Open your device → anywhere → press power button
Why: To start using your device.

2. Tap the browser icon → bottom center → looks like a compass
Why: To access the internet.

3. Type in 'strong password' → top center → in the search bar
Why: To search for information on strong passwords.

4. Tap 'Search' or 'Go' → bottom right → usually a magnifying glass
Why: To start the search.

5. Tap on a reliable source → middle of screen → might say 'www.gov.uk'
Why: To get accurate information.

⚠️ WARNING: Avoid clicking on ads or unfamiliar sites.

6. Read about strong passwords → on screen → text usually starts at the top
Why: To understand what makes a password strong.

📊 This should help in most situations. (How sure I am: 85%)"
What is a strong password?,short + simplify,45.4,91.0,30.000000000000004,0,0,"A good password is like a healthy garden. It should be big - at least 12 things long. It should have a mix of different things - big letters, small letters, numbers, and special signs. It should not have things that are easy to guess, like your name, simple words, or things in order (like ""1234"" or ""abcd"").

📊 This should help in most situations. (How sure I am: 80%)"
What is a strong password?,short + step-by-step,17.400000000000002,45.0,0,30,0,"A strong password typically includes a combination of upper and lower case letters, numbers, and special characters. It should be at least 12 characters long and not include easily guessed information like your name, birthdate, or common words.

👣 **Step-by-Step Instructions**:
1. Understand concept → Your mind → Strong password = secure account
2. Mix characters → On keyboard → Letters, numbers, symbols
3. Use both cases → On keyboard → Capital and small letters
4. Avoid personal info → Your mind → No names, birthdays
5. Make it long → On keyboard → At least 12 characters
6. Change regularly → Your mind → Every 3-6 months, for safety

📊 This should help in most situations. (How sure I am: 80%)"
What is a strong password?,simplify + step-by-step,7.800000000000008,54.0,0,30,0,"A strong password is like a robust lock on your garden gate. It's something that's hard for unwanted visitors (hackers) to break open. It should be a unique mix of letters, numbers, and special symbols that you don't use for anything else. It's best if it doesn't include obvious things like your name, birthdate, or '123456'. Imagine it like planting a variety of flowers in your garden instead of just roses, it makes it harder for pests (hackers) to ruin your garden (steal your information).

👣 **Step-by-Step Instructions**:
1. Understand concept → Your mind → Strong password is secret
2. Mix letters → Keyboard → Both uppercase and lowercase
3. Add numbers → Keyboard → Any numbers you remember
4. Include symbols → Keyboard → Like $, @, or #
5. Make it long → Keyboard → At least 12 characters
6. Don't use personal info → Your mind → Like name or birthday

📊 This should help in most situations. (How sure I am: 82%)"
What is a strong password?,short + simplify + step-by-step,16.700000000000003,56.0,0,30,0,"Think of a good password like a healthy garden. It needs a mix of different things - tall and short plants (upper and lower case letters), rocks (numbers), and decorations (special characters). Make sure it's big (at least 12 characters) and don't plant anything obvious like your name or birthday!

👣 **Step-by-Step Instructions**:
1. Understand concept → Your mind → Strong password = hard to guess
2. Use long words → Your keyboard → More characters = stronger password
3. Mix types → Your keyboard → Use letters, numbers, symbols
4. Avoid personal info → Your mind → Don't use your name, birthdate
5. Create unique password → Your mind → Don't reuse old passwords
6. Change regularly → Your mind → Update password every few months

📊 This should help in most situations. (How sure I am: 77%)"
Why is my screen frozen?,short,28.299999999999997,34.0,69.0,20,0,"The cause could be an overloaded system or an unresponsive application. Try closing unnecessary applications or restarting your device.

📊 This should help in most situations. (How sure I am: 77%)"
Why is my screen frozen?,simplify,32.7,68.0,15.000000000000002,0,10,"It seems like your computer is having a little trouble, kind of like when a garden hose gets a kink in it and the water can't flow. This is often called a ""frozen"" screen because just like a frozen river, nothing is moving. It usually happens when the computer is trying to do too many things at once, or a program isn't working right. Don't worry though, there are ways to fix it!

📊 This should help in most situations. (How sure I am: 77%)"
Why is my screen frozen?,step-by-step,21.2,70.0,0,20,0,"1. Press the POWER button → right side → small, rectangular button
   Why: This will put your device to sleep.

2. Wait for 10 seconds → use a clock → second hand moves one full circle
   Why: This allows the device to reset.

3. Press the POWER button again → right side → small, rectangular button
   Why: This will wake your device up.

4. Swipe up → bottom of screen → from the small line
   Why: This unlocks your device.

5. Tap SETTINGS icon → home screen → looks like a gear
   Why: This opens your device settings.

6. Tap RESTART → top of settings → red text
   ⚠️ WARNING: This will close all open apps.
   Why: This can fix a frozen screen.

📊 I'm highly confident this will help. (How sure I am: 93%)"
Why is my screen frozen?,short + simplify,36.900000000000006,87.0,27.0,20,0,"Your screen might be stuck because it's trying to do too much, like a gardener with too many plants to water. Or, it might not have enough space to work, like a pot that's too small for a plant. Sometimes, it's just a small hiccup in the system. Try turning your device off and on again to see if it helps.

📊 This should help in most situations. (How sure I am: 77%)"
Why is my screen frozen?,short + step-by-step,35.00000000000001,61.0,0,80,0,"Your screen may be frozen due to an unresponsive app or a system error. Try restarting your device to resolve the issue.

👣 **Step-by-Step Instructions**:
1. Press the POWER button → side of device → small rectangular button
2. Hold for 10 seconds → until screen goes black
3. Wait for a few moments → screen remains black
4. Press the POWER button again → side of device → small rectangular button
5. Release after 2 seconds → until screen lights up
6. Wait for device to restart → until you see the home screen

⚠️ WARNING: Do not press any other buttons while restarting.

📊 I'm highly confident this will help. (How sure I am: 90%)"
Why is my screen frozen?,simplify + step-by-step,10.700000000000003,61.0,0,70,2,"I'm sorry to hear that your screen isn't changing. This can happen when your computer is trying to do too many things at once, just like a gardener who is trying to plant too many seeds at the same time. Sometimes, the computer needs a moment to catch up. You can try waiting for a bit to see if it starts working again. If not, turning your computer off and then back on again can often solve the problem, just like giving a garden a good watering can help the plants grow.

👣 **Step-by-Step Instructions**:
1. Identify the issue → Your device → Screen not responding
2. Press the POWER button → Side of device → Small, rectangular button
3. Hold for 10 seconds → POWER button → Until device turns off
4. Wait for a moment → No specific location → Just be patient
5. Press the POWER button → Side of device → To turn device back on
6. Check if issue persists → Your device → Screen should respond now

⚠️ WARNING: If issue persists, seek professional help.

📊 I'm highly confident this will help. (How sure I am: 88%)"
Why is my screen frozen?,short + simplify + step-by-step,29.800000000000004,61.0,0,90,0,"It seems like your screen is stuck, kind of like a garden hose with a kink in it. Just like you'd shake out the hose, try turning off your device and turning it back on to get things flowing again.

👣 **Step-by-Step Instructions**:
1. Press the POWER button → side of device → small, rectangular button
2. Wait for 10 seconds → ⚠️ WARNING: Do not touch anything
3. Press the POWER button again → side of device → small, rectangular button
4. Look at the screen → front of device → large, glass surface
5. If screen is still frozen, repeat steps 1-4 → 🧠 Why: Sometimes devices need a second restart
6. If problem persists, seek professional help → ✅ Guidelines: Don't try to fix it yourself

📊 This should help in most situations. (How sure I am: 85%)"
How do I enable captions on YouTube?,short,33.7,68.0,55.00000000000001,0,0,"The captions might be turned off in your YouTube settings. To enable them, click on the settings (gear icon) in the video player, then click on ""Subtitles/CC"", and select the language you want.

📊 This should help in most situations. (How sure I am: 79%)"
How do I enable captions on YouTube?,simplify,4.300000000000001,70.0,0,20,35,"Sure, I can help with that. Turning on captions on YouTube is like planting a seed - it's a simple process once you know the steps. 

First, you'll need to find a video you want to watch. Once it's playing, look for a little button at the bottom of the video that looks like a box with lines inside it. This is the 'Closed Caption' button, just like a seed is a sign of a future plant. 

Click on that button, and voila! You'll see words appearing at the bottom of your video, just like a plant sprouting from a seed. These words are the captions, they're there to help you understand what's being said in the video.

If you can't see the words, don't worry. Just like some seeds need a little more time to sprout, you might need to click on the 'Settings' button (it looks like a little gear) next to the 'Closed Caption' button. Once you're there, you can adjust the captions to your liking. 

Remember, patience is key in both gardening and technology. Don't worry if you don't get it right away, you can always try again.

📊 This should help in most situations. (How sure I am: 78%)"
How do I enable captions on YouTube?,step-by-step,29.200000000000003,73.0,0,0,0,"1. Open YouTube app → on your device → looks like a white play button on a red background.

2. Tap on a video → anywhere on your screen → video starts playing.

3. Tap on screen → center → video controls appear.

4. Tap on three dots → top right → opens a menu.

5. Tap on 'Captions' → in the menu → a list appears.

6. Tap 'English' → in the list → captions are enabled. 

Why: Captions provide a text version of the video's audio.

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I enable captions on YouTube?,short + simplify,47.400000000000006,96.0,30.000000000000004,0,0,"To turn on words on the screen for a YouTube video, look for a button at the bottom right of the video that says ""CC"" or looks like a gear. Click on it. Then click on ""Subtitles/CC"". Pick the language you want. It's like planting a seed - you pick the type you want, then you plant it.

📊 This should help in most situations. (How sure I am: 84%)"
How do I enable captions on YouTube?,short + step-by-step,26.8,58.0,0,30,0,"To enable captions on YouTube, click on the ""CC"" or ""Settings"" icon at the bottom right of the video player, then select ""Subtitles/CC"" and choose the language you want.

👣 **Step-by-Step Instructions**:
1. Open YouTube → Home screen → Red play button icon
2. Select a video → Anywhere on screen → Video thumbnail
3. Tap 'More' → Top right → Three vertical dots
4. Tap 'Captions' → Middle of list → Text says 'Captions'
5. Select language → Pop-up menu → List of languages
6. Tap 'English' → Top of list → Text says 'English'

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I enable captions on YouTube?,simplify + step-by-step,9.100000000000001,70.0,0,30,0,"Sure, enabling captions on YouTube is quite simple. Just think of it like turning on the sprinkler system in your garden. Here are the steps:

1. Open the YouTube video you want to watch.
2. Look for a button at the bottom of the video that looks like a little box with lines inside - this is the 'Closed Caption' button.
3. Click on that button. The captions should now appear on your video.

Just like turning on the sprinkler waters all your plants, clicking this button will show you all the words being spoken in the video.

👣 **Step-by-Step Instructions**:
1. Open YouTube → On your device → Icon is a red play button
2. Select a video → Anywhere on screen → Video starts playing
3. Tap screen → Center → Video controls appear
4. Tap 'Settings' → Bottom right → Looks like a gear
5. Tap 'Captions' → Middle of list → Next to a 'CC' icon
6. Select 'English' → Top of list → First option available

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I enable captions on YouTube?,short + simplify + step-by-step,17.599999999999998,53.0,0,30,0,"To turn on words on your YouTube video, look for a button that says ""CC"" or ""Settings"" at the bottom right of the video. Click on it, then pick ""Subtitles/CC"" and the language you want, just like picking your favorite flower in the garden.

👣 **Step-by-Step Instructions**:
1. Open YouTube app → On your device → Blue square with white triangle
2. Tap on a video → Middle of the screen → Video thumbnail
3. Tap on the screen → Anywhere on the video → Video will pause
4. Tap on 'CC' → Bottom right → Looks like two 'C's
5. Select 'English' → Pop-up menu → First option

⚠️ WARNING: Captions may not be available for all videos.

📊 I'm highly confident this will help. (How sure I am: 90%)"
What is Bluetooth and how do I use it?,short,38.2,55.0,54.0,0,0,"Bluetooth is a wireless technology for exchanging data over short distances between devices. To use it, go to your device's settings, turn on Bluetooth, then pair with the device you want to connect to.

📊 This should help in most situations. (How sure I am: 82%)"
What is Bluetooth and how do I use it?,simplify,0,65.0,0,0,15,"Bluetooth is like an invisible string that connects two devices together, like your phone and your headphones. It's a way to share things between these devices without any wires.

Here's how you can use it:

1. First, make sure the Bluetooth is turned on in the device you want to connect. This is usually in the settings menu.

2. Next, you'll need to make the two devices recognize each other, like two plants growing towards the same sunlight. You do this by making your device ""discoverable"" or ""visible"" to other devices. This is also usually in the settings menu.

3. Then, on the other device, look for the name of the device you want to connect with. Once you see it, select it to start the connection. 

4. Sometimes, you might need to confirm that the two devices can connect by clicking ""OK"" or entering a code. But don't worry, your device will guide you through this if needed.

5. And that's it! Your devices should now be connected by their invisible string, ready to share things with each other. 

Remember, just like in gardening, patience is key. Sometimes it might take a few tries to get the connection just right. But once you do, it's a smooth ride from there.

📊 This may help, but ask someone if unsure. (How sure I am: 67%)"
What is Bluetooth and how do I use it?,step-by-step,6.800000000000003,53.0,0,0,0,"1. Understand Bluetooth → Your mind → It's wireless connection technology
Why: Bluetooth lets devices talk to each other without wires.

2. Turn on your device → In your hand → It's the one you use
Why: Your device needs to be on to use Bluetooth.

3. Go to settings → Screen → Looks like a gear
Why: This is where you control your device's functions.

4. Find Bluetooth → Settings → Usually near top
Why: This is where you turn Bluetooth on or off.

5. Tap Bluetooth → Settings → Turns blue or green
Why: This turns on Bluetooth so your device can connect.

6. Connect to device → Bluetooth menu → Name matches other device
⚠️ WARNING: Only connect to devices you trust.
Why: This lets your device talk to other Bluetooth devices.

📊 This should help in most situations. (How sure I am: 84%)"
What is Bluetooth and how do I use it?,short + simplify,39.0,66.0,42.00000000000001,0,0,"Bluetooth is like an invisible cord that lets gadgets talk to each other without wires. You need to switch on this feature in both devices you want to connect. It's like planting two seeds in a garden that grow to become plants talking to each other.

📊 This should help in most situations. (How sure I am: 80%)"
What is Bluetooth and how do I use it?,short + step-by-step,18.300000000000004,48.0,0,30,0,"Bluetooth is a wireless technology that allows the exchange of data between devices over short distances. To use it, go to your device's settings, turn on Bluetooth, then pair it with the device you want to connect to, which should also have its Bluetooth turned on.

👣 **Step-by-Step Instructions**:
1. Understand Bluetooth → Your mind → It's wireless connection technology.
2. Find Settings → Home screen → Gear-shaped icon.
3. Tap Bluetooth → Settings → Listed under 'Connections'.
4. Switch Bluetooth on → Top of screen → Toggle switch.
5. Connect device → Under 'Available devices' → Tap device name.
6. Confirm connection → Pop-up window → Tap 'Pair' or 'Connect'.

📊 I'm highly confident this will help. (How sure I am: 88%)"
What is Bluetooth and how do I use it?,simplify + step-by-step,0,66.0,0,30,5,"Bluetooth is like an invisible string that connects two devices together wirelessly. It can connect your phone to your car, or a speaker, or a headset, and let them talk to each other.

To use it, you need to make sure Bluetooth is turned on both devices. On your phone, you can usually find this in the settings. Once it's on, you need to pair the devices. This is like introducing two plants to each other in your garden. Once they know each other, they can grow together. Your phone will look for other Bluetooth devices nearby, and when you see the one you want to connect to, you select it. Sometimes, you might need a password, but often, you just need to confirm you want to connect. Then, they should be able to share information, like sound or files, back and forth.

👣 **Step-by-Step Instructions**:
1. Understand Bluetooth: It's a wireless technology for exchanging data over short distances.

2. Turn on device → Find settings → Looks like a gear.

3. Scroll down → Find 'Bluetooth' → Looks like a 'B'.

4. Tap 'Bluetooth' → Top of screen → Turns on Bluetooth.

5. Find 'Available Devices' → Below 'Bluetooth' → Shows list.

6. Tap device name → Connects your device → Check for 'Connected' message. 

Why: This allows your device to communicate with other Bluetooth devices.

📊 This should help in most situations. (How sure I am: 76%)"
What is Bluetooth and how do I use it?,short + simplify + step-by-step,17.1,60.0,0,30,0,"Bluetooth is like an invisible string that lets your gadgets talk to each other without any wires. To make it work, you just have to switch it on in your gadget's settings and make sure the gadget you want to connect to also has its Bluetooth turned on. It's like pairing up dance partners at a garden party!

👣 **Step-by-Step Instructions**:
1. Understand Bluetooth: It's a wireless connection for devices.
2. Locate Settings → Home screen → Gear-shaped icon.
3. Tap on Bluetooth → Settings → Looks like a 'B'.
4. Turn on Bluetooth → Top of screen → Toggle switch.
5. Select device → Under ""Available Devices"" → Names listed.
6. Connect device → Tap on device name → Paired if successful.

Why: Bluetooth lets you connect devices without wires.

📊 This should help in most situations. (How sure I am: 81%)"
How do I connect to a new Wi-Fi network?,short,40.300000000000004,58.0,57.00000000000001,0,0,"The device may not be connected to a Wi-Fi network. Go to your device's settings, select Wi-Fi, choose the network you want to connect to, and enter the password if required.

📊 This should help in most situations. (How sure I am: 82%)"
How do I connect to a new Wi-Fi network?,simplify,0,68.0,0,0,10,"Sure, let's make this as simple as planting a flower in your garden.

1. First, you need to find the right spot to plant your flower. In tech terms, this means you need to find the Wi-Fi network you want to connect to. To do this, look for a symbol on your device that looks like a little radio wave or a dot with rings around it. Click on this symbol.

2. Just like you'd see a list of possible spots to plant your flower, you'll see a list of Wi-Fi networks pop up. These are all the networks your device can ""see"" or detect.

3. Now, choose the right spot for your flower, or in this case, the right Wi-Fi network. Click on the network you want to connect to.

4. Just like you'd need to dig a hole to plant your flower, you'll need to enter a password to connect to the Wi-Fi. If it's your home network, this password is usually on the back of your router. If you're in a public place, you might need to ask someone for the password.

5. Once you've entered the password, click 'Connect' or 'Join'. This is like putting your flower in the hole and covering it up with soil. After a few moments, you should be connected to the Wi-Fi, just like your flower is now planted and ready to grow.

And there you have it! You've connected to a new Wi-Fi network. Just remember, if you move your device too far away from the router (or the spot where you planted your flower), you might lose your connection. But don't worry, just move closer again, or find a new spot to ""plant your flower"".

📊 This should help in most situations. (How sure I am: 76%)"
How do I connect to a new Wi-Fi network?,step-by-step,21.0,58.0,0,0,2,"1. Tap the SETTINGS icon → Home screen → looks like a gear
2. Tap 'Wi-Fi' → top of the screen → first option
3. Tap the Wi-Fi switch → top right → looks like a slider
   Why: This turns on your Wi-Fi so you can connect to networks.
4. Tap the network name → under 'Available Networks' → list of names
5. Enter password → pop-up window → text box at the bottom
   ⚠️ WARNING: Be careful when entering the password, it's case sensitive.
6. Tap 'Join' → bottom right of pop-up → blue button

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I connect to a new Wi-Fi network?,short + simplify,42.9,81.0,35.0,0,0,"On most gadgets, find your settings. Look for Wi-Fi and pick the network you want. If it asks for a password, type in the one given to you by the person who takes care of the network. It's like picking a flower from a garden and knowing its name to tell the gardener.

📊 This should help in most situations. (How sure I am: 80%)"
How do I connect to a new Wi-Fi network?,short + step-by-step,36.1,76.0,0,30,0,"On most devices, go to your settings, select Wi-Fi, and choose the network you want to connect to. If required, enter the network password.

👣 **Step-by-Step Instructions**:
1. Tap SETTINGS icon → Home screen → looks like a gear
2. Tap Wi-Fi → top of screen → under 'Airplane Mode'
3. Slide Wi-Fi button → top right → turns green
4. Tap network name → under 'Choose a Network'
5. Enter password → pop-up window → type in box
6. Tap JOIN → bottom right → on pop-up window

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I connect to a new Wi-Fi network?,simplify + step-by-step,0,81.0,0,30,0,"Sure, I'd be happy to help you with that. 

1. First, find the Wi-Fi symbol on your device. It looks like a little dot with curved lines above it, like radio waves. On a computer, it's usually at the bottom right corner, and on a phone, it's at the top.

2. Click or tap on this symbol. It will show you a list of available Wi-Fi networks. This is like looking at a garden and seeing all the different types of flowers you could plant.

3. Find the name of the network you want to connect to. Click or tap on it.

4. If it's a secure network, it will ask for a password. This is like a gate to the garden that keeps out unwanted visitors. Enter the password and click 'connect'.

5. After a moment, you should be connected to the new Wi-Fi network. It's like you've planted a new flower in your garden and it's starting to bloom!

Remember, if you're not sure about the password, ask the person who's in charge of the Wi-Fi network. They should be able to give it to you.

👣 **Step-by-Step Instructions**:
1. Tap SETTINGS icon → home screen → looks like gears
2. Tap Wi-Fi → top of screen → next to airplane icon
3. Find network name → middle of screen → under 'Choose a Network'
4. Tap network name → appears in list → has signal bars
5. Type password → pop-up box → under 'Enter Password'
6. Tap JOIN → bottom right → blue button

📊 This should help in most situations. (How sure I am: 80%)"
How do I connect to a new Wi-Fi network?,short + simplify + step-by-step,27.5,80.0,0,30,0,"Think of your device like a flower. It needs to be close enough to the Wi-Fi, like a flower needs to be close to the sun, to work well. Just go to your Wi-Fi settings, pick the new network you want, and type in the password if it asks for one.

👣 **Step-by-Step Instructions**:
1. Tap SETTINGS icon → Home screen → looks like a gear
2. Tap Wi-Fi → top of screen → written in blue
3. Slide Wi-Fi button → top right → looks like a switch
4. Tap network name → under 'Choose a Network' → list of names
5. Type password → pop-up box → keyboard appears
6. Tap JOIN → bottom right of pop-up box → blue button

📊 I'm highly confident this will help. (How sure I am: 90%)"
Why is my computer slow?,short,32.5,36.0,47.0,20,0,"Your computer may be slow due to a lack of storage space, too many running programs, malware, outdated software, or hardware issues. Try freeing up disk space, closing unnecessary programs, running a malware scan, updating your software, or upgrading your hardware.

📊 This should help in most situations. (How sure I am: 82%)"
Why is my computer slow?,simplify,9.700000000000003,53.0,0,0,0,"Just like a garden can become overgrown with weeds if not regularly maintained, your computer can also slow down if it's overloaded with too many files or applications. You see, your computer's speed depends on how much space it has to work smoothly. If there are too many things taking up space, it can't work as quickly. This might be because of unused programs, files you don't need anymore, or even a virus. Just like pulling out weeds can help a garden grow better, cleaning up your computer can help it run faster.

📊 This should help in most situations. (How sure I am: 75%)"
Why is my computer slow?,step-by-step,22.8,57.0,1.0000000000000009,0,0,"1. Tap the START button → bottom left → looks like a window
2. Click on SETTINGS → left side → gear-shaped icon
3. Select UPDATE & SECURITY → bottom → shield-shaped icon
4. Click on WINDOWS UPDATE → top left → blue text
5. Click on CHECK FOR UPDATES → top → blue button

Why: Regular updates can improve your computer's speed by fixing bugs and improving system performance. 

⚠️ WARNING: Make sure your computer is connected to a power source before updating to avoid interruptions.

📊 I'm highly confident this will help. (How sure I am: 90%)"
Why is my computer slow?,short + simplify,32.900000000000006,82.0,31.999999999999996,0,5,"Your computer might be acting slow like a snail because it's too full, has too many things going on at once, or has some bad bugs. It may also be using old tools. You can help it by making more room, shutting down things you don't need, checking for bugs, and giving it the latest tools.

📊 This should help in most situations. (How sure I am: 75%)"
